producto,unidad,precio_promedio_por_unidad,precio_promedio_por_100
ACEITE,ML,0.0491,4.9119
ACEITE DE OLIVA,ML,0.3002,30.0234
ACEITUNA,GR,0.3081,30.8079
AGUA CON GAS,ML,0.0575,5.7535
AGUA SIN GAS,ML,0.0128,1.2782
AGUACATE,GR,0.0804,8.0367
AJO,GR,0.3899,38.9852
AJONJOLÍ,GR,0.1757,17.5685
ALCACHOFA,GR,0.1747,17.4743
ALCAPARRA,GR,0.3042,30.4246
ALIMENTO PREPARADO PARA NIÑOS,GR,0.1315,13.1467
ALIMENTOS PREPARADOS,GR,0.2479,24.7887
ALMEJA,GR,0.0558,5.5838
ALMENDRAS,GR,0.4245,42.4548
ALUBIA,GR,0.0727,7.2658
AMARANTO,GR,0.1132,11.32
APIO,GR,0.0274,2.7443
ARROZ,GR,0.0286,2.859
ATÚN,GR,0.1547,15.4699
AVENA,GR,0.1144,11.4358
AZÚCAR,GR,0.0377,3.7695
BAGRE,GR,0.0817,8.1711
BANDERA,GR,0.0801,8.0054
BARRAS DE AVENA,GR,0.2601,26.0097
BARRAS DE CEREAL,GR,0.3234,32.3356
BARRITA DE SURIMI O BARRITA DE SURIMI CANGRE,GR,0.1263,12.6282
BASA,GR,0.0995,9.9467
BEBIDAS HIDRATANTES,ML,0.0349,3.4928
BETABEL,GR,0.0296,2.9603
BLANCO DEL NILO,GR,0.2645,26.4535
BRANDY,ML,0.4278,42.7846
BRÓCOLI,GR,0.0497,4.9697
CACAHUATES,GR,0.2129,21.2859
CAFÉ SOLUBLE,GR,0.8356,83.5649
CAFÉ TOSTADO Y MOLIDO,GR,0.3172,31.7181
CAJETA,GR,0.1942,19.4204
CALABAZA,GR,0.0306,3.0646
CALAMAR,GR,0.2057,20.5725
CAMARÓN,GR,0.2978,29.7811
CANELA,GR,0.8765,87.6522
CARNE CERDO,GR,0.1113,11.1349
CARNE PAVO,GR,0.1251,12.5064
CARNE POLLO,GR,0.084,8.3955
CARNE RES,GR,0.1857,18.5693
CARNE TERNERA,GR,0.2659,26.5937
CARPA,GR,0.0616,6.1572
CAZÓN,GR,0.1534,15.3362
CEBOLLA,GR,0.0237,2.3722
CEREALES,GR,0.148,14.8032
CERVEZA,ML,0.3538,35.3805
CHAMPIÑONES,GR,0.1008,10.0766
CHARAL,GR,0.142,14.1966
CHAYOTE,GR,0.0364,3.6405
CHILE FRESCO,GR,0.0634,6.345
CHILE SECO,GR,0.3681,36.8132
CHILES,GR,0.0897,8.9723
CHOCOLATE,GR,0.5403,54.0282
CHOCOLATE EN TABLILLAS,GR,0.2405,24.0497
CHORIZO,GR,0.2631,26.3096
CHUCUMITE,GR,0.25,25.0
CHÍA,GR,0.2306,23.0602
CHÍCHARO,GR,0.0531,5.3058
CHÍCHAROS,GR,0.0934,9.3374
CHÍCHAROS EN LATA,GR,0.0536,5.3579
CIRUELA,GR,0.0792,7.9232
CIRUELA PASA,GR,0.1672,16.7219
CLAVO,GR,0.3146,31.4608
COCTEL DE FRUTAS EN ALMÍBAR,GR,0.0871,8.7136
COL,GR,0.0352,3.5162
COMBINADO PRIMAVERA,GR,0.097,9.7006
COMINO,GR,0.7171,71.713
CONCENTRADO DE POLLO,GR,0.877,87.7016
CREMA,GR,0.1065,10.6544
CREMA,ML,0.1022,10.2233
CREMA BATIDA,ML,0.0567,5.6694
CREMA DE CACAHUATE,GR,0.1938,19.3806
CURVINA,GR,0.0963,9.6277
CÚRCUMA,GR,0.8109,81.0898
DURAZNO,GR,0.0922,9.2197
DURAZNOS EN ALMÍBAR,GR,0.078,7.7987
EJOTE,GR,0.06,5.9992
ELOTE,GR,0.0546,5.4587
EMPANIZADORES,GR,0.1655,16.549
FLAN,GR,0.1707,17.0677
FLORETES DE BRÓCOLI,GR,0.1097,10.9722
FRESA,GR,0.1526,15.2558
FRIJOL,GR,0.0521,5.2139
FRIJOLES,GR,0.0367,3.667
FÓRMULA LÁCTEA,GR,0.4565,45.6488
GALLETAS DULCES,GR,0.1496,14.9559
GALLETAS POPULARES,GR,0.1069,10.6866
GALLETAS SALADAS,GR,0.1309,13.0939
GARBANZO,GR,0.0769,7.6938
GELATINA EN POLVO,GR,0.2206,22.0561
GRANADA,GR,0.1567,15.6673
GRANOLA,GR,0.2483,24.831
GRANOS DE ELOTE,GR,0.1179,11.7867
GRASA COMESTIBLE,GR,0.0735,7.3458
GUANÁBANA,GR,0.1033,10.3274
GUARNICIÓN DE VERDURAS,GR,0.0745,7.4494
GUAYABA,GR,0.0579,5.7909
HABA,GR,0.1427,14.2736
HARINA DE ARROZ,GR,0.0661,6.609
HARINA DE MAÍZ,GR,0.0645,6.4515
HARINA DE TRIGO,GR,0.02,1.996
HARINA HOT CAKES,GR,0.0667,6.6725
HELADO,GR,0.1232,12.3159
HOJAS DE LAUREL,GR,5.1765,517.6536
HUACHINANGO,GR,0.292,29.2005
HUEVO,GR,0.0484,4.8415
JAIBA,GR,0.1904,19.0375
JAMAICA,GR,0.2417,24.1678
JAMÓN,GR,0.2375,23.7517
JARABE P/PREPARAR BEBIDAS,ML,0.0716,7.1608
JITOMATE,GR,0.0277,2.7743
JUGO DE FRUTA,ML,0.0283,2.8346
JUREL,GR,0.067,6.7043
JÍCAMA,GR,0.0248,2.4773
KIWI,GR,0.0962,9.6196
LECHE CONDENSADA,GR,0.1023,10.2268
LECHE EN POLVO,GR,0.1993,19.9294
LECHE EVAPORADA,GR,0.0666,6.661
LECHE PASTEURIZADA,ML,0.0293,2.9288
LECHE ULTRAPASTEURIZADA,ML,0.0345,3.4514
LENGUADO,GR,0.179,17.9
LENTEJA,GR,0.0582,5.8167
LIMA,GR,0.0478,4.7771
LIMÓN,GR,0.0324,3.2426
LINAZA,GR,0.1146,11.4641
LISA,GR,0.0526,5.2572
LOBINA,GR,0.297,29.7
MAMEY,GR,0.0465,4.6473
MANDARINA,GR,0.0505,5.052
MANGO,GR,0.0355,3.553
MANTECA DE CERDO,GR,0.0971,9.7148
MANTEQUILLA,GR,0.2766,27.6645
MANZANA,GR,0.0444,4.4384
MARGARINA,GR,0.1782,17.8249
MAYONESA,GR,0.1309,13.0939
MAÍZ PALOMERO,GR,0.0468,4.6813
MAÍZ POZOLERO,GR,0.0454,4.538
MELÓN,GR,0.0357,3.5733
MERLUZA,GR,0.189,18.9
MERMELADA,GR,0.1069,10.687
MERO,GR,0.2809,28.0923
MEZCLA CALIFORNIA,GR,0.0846,8.4645
MEZCLA CAMPESINA,GR,0.0985,9.8452
MIEL DE ABEJA,GR,0.2039,20.3899
MOJARRA,GR,0.1106,11.0587
MOLE ROJO EN PASTA,GR,0.1941,19.4108
MORTADELA,GR,0.1267,12.6704
MOSTAZA,GR,0.0984,9.8357
NARANJA,GR,0.0394,3.9414
NOPAL,GR,0.0414,4.1425
NUEZ,GR,0.614,61.4032
ORÉGANO,GR,0.9521,95.2064
PAN DE CAJA,GR,0.1006,10.0553
PAN DULCE,GR,0.1272,12.7243
PAPA,GR,0.0298,2.9795
PAPAS FRITAS Y SIMILARES,GR,0.2956,29.5561
PAPAYA,GR,0.0372,3.7169
PARGO,GR,0.3621,36.2133
PASA (UVA PASA),GR,0.0969,9.6854
PASTA PARA SOPA,GR,0.0432,4.3236
PASTEL PIMIENTO,GR,0.1571,15.711
PASTELILLOS Y PAN DULCE EMPAQUETADO,GR,0.2448,24.4785
PECHUGA DE PAVO,GR,0.2884,28.8369
PEPINO,GR,0.0246,2.4609
PERA,GR,0.0567,5.6748
PERÓN,GR,0.0455,4.5532
PETO,GR,0.13,13.0
PILONCILLO,GR,0.0393,3.9258
PIMIENTA,GR,1.0747,107.475
PIMIENTO,GR,0.0773,7.7339
PIÑA,GR,0.0322,3.2176
PIÑA EN ALMÍBAR,GR,0.0851,8.5139
PLÁTANO,GR,0.0292,2.9227
POLVO P/HORNEAR,GR,0.1632,16.3196
POLVO P/PREPARAR BEBIDAS,GR,0.567,56.7017
POLVO P/PREPARAR BEBIDAS SABOR CHOCOLATE,GR,0.1569,15.6943
PRODUCTO LÁCTEO,ML,0.0248,2.4794
PULPO,GR,0.3461,34.6125
PURÉ DE TOMATE,GR,0.0338,3.3767
PÁMPANO,GR,0.1958,19.575
QUESO AMERICANO,GR,0.2195,21.9465
QUESO CANASTO,GR,0.1401,14.0055
QUESO CHIHUAHUA,GR,0.2864,28.6362
QUESO COTIJA,GR,0.1673,16.7331
QUESO DE PUERCO,GR,0.2483,24.8319
QUESO DOBLE CREMA,GR,0.1337,13.371
QUESO FRESCO,GR,0.2047,20.465
QUESO MANCHEGO,GR,0.2861,28.6059
QUESO OAXACA,GR,0.2414,24.1431
QUESO PANELA,GR,0.2135,21.3537
QUESO SIERRA,GR,0.2004,20.0356
REFRESCO,ML,0.0226,2.261
ROBALITO,GR,0.1826,18.2633
ROBALO,GR,0.3773,37.7314
ROMERITOS,GR,0.0164,1.6417
RON,ML,0.5463,54.6298
RUBIA,GR,0.195,19.5
SAL DE MAR,GR,0.0156,1.5594
SAL MOLIDA DE MESA,GR,0.0251,2.514
SALCHICHA,GR,0.1158,11.5778
SALMÓN,GR,0.4641,46.4077
SALSA CATSUP,GR,0.0609,6.0935
SALSA DE SOYA,ML,0.1375,13.7541
SALSA INGLESA,ML,0.2974,29.7412
SALSA PICANTE Y SIMILARES,GR,0.1337,13.3724
SALSA PICANTE Y SIMILARES,ML,0.4261,42.6104
SANDÍA,GR,0.0153,1.5341
SARDINA,GR,0.0887,8.8682
SEMILLA DE GIRASOL,GR,0.1686,16.8626
SIERRA,GR,0.1209,12.089
SOYA,GR,0.0439,4.3868
SUSTITUTO DE AZÚCAR,GR,0.6497,64.9745
TAMARINDO,GR,0.1165,11.648
TEJOCOTE,GR,0.0449,4.49
TEQUILA,ML,0.4051,40.5103
TILAPIA,GR,0.1366,13.663
TOCINO AHUMADO,GR,0.4432,44.3235
TOMATE,GR,0.0315,3.1494
TOMILLO,GR,1.1125,111.2537
TORONJA,GR,0.0385,3.8483
TORTILLA DE HARINA DE TRIGO,GR,0.1151,11.5077
TORTILLA DE MAÍZ,GR,0.0183,1.8305
TOSTADAS DE MAÍZ,GR,0.1482,14.8153
TRUCHA,GR,0.2518,25.1833
TUNA,GR,0.0415,4.1525
TÉ,GR,20.4212,2042.1163
TÉ PREPARADO,ML,0.0324,3.239
UVA,GR,0.0837,8.3734
VAINILLA,ML,0.106,10.5968
VERDOLAGA,GR,0.04,3.9989
VINAGRE,ML,0.0186,1.8649
WHISKY,ML,0.4473,44.7252
YOGHURT,GR,0.0798,7.9807
ZANAHORIA,GR,0.0167,1.6748
